         2094 function calls in 0.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\jwt\algorithms.py:255(prepare_key)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       24    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:922(acquire)
        4    0.000    0.000    0.000    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\async_timeout\__init__.py:100(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\base64.py:121(urlsafe_b64decode)
        4    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:151(cancel)
        1    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\tokenize.py:323(read_or_stop)
       12    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1734(isEnabledFor)
        6    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\base64.py:112(urlsafe_b64encode)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\hmac.py:151(digest)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 {method 'compress' of 'zlib.Compress' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        5    0.000    0.000    0.000    0.000 {built-in method now}
       13    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:518(_check_closed)
        5    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:54(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\asyncio\locks.py:14(__aenter__)
       12    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:432(usesTime)
        6    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\enum.py:688(__call__)
        6    0.000    0.000    0.000    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\websockets\legacy\framing.py:24(new_frame)
        5    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:755(_register_with_iocp)
       24    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:929(release)
        4    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\calendar.py:653(timegm)
        1    0.000    0.000    0.000    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\jwt\api_jwt.py:170(_decode_payload)
